ID,NAME
1,Baseplates
57,"Non-Buildable Figures (Duplo, Fabuland, etc)"
56,Tools
55,Technic Beams Special
54,Technic Bushes
53,Technic Pins
52,Technic Gears
51,Technic Beams
50,HO Scale
49,Plates Angled
48,Clikits
47,Windscreens and Fuselage
46,Technic Axles
45,"Power Functions, Mindstorms and Electric"
44,Mechanical
43,Znap
42,"Belville, Scala and Fabuland"
41,"Bionicle, Hero Factory and Constraction"
40,Technic Panels
39,Magnets and Holders
38,"Flags, Signs, Plastics and Cloth"
37,Bricks Curved
36,Transportation - Land
35,Transportation - Sea and Air
34,"Supports, Girders and Cranes"
33,Rock
32,"Bars, Ladders and Fences"
31,"String, Bands and Reels"
30,Tubes and Hoses
29,Wheels and Tyres
28,Plants and Animals
27,Minifig Accessories
26,Technic Special
25,"Technic Steering, Suspension and Engine"
24,Other
23,Panels
22,Pneumatics
21,Plates Round and Dishes
20,Bricks Round and Cones
19,Tiles
18,"Hinges, Arms and Turntables"
17,Non-LEGO
16,Windows and Doors
15,Tiles Special
14,Plates
13,Minifigs
12,Technic Connectors
11,Bricks
10,Tiles Printed
9,Plates Special
8,Technic Bricks
7,Containers
6,Bricks Wedged
5,Bricks Special
4,"Duplo, Quatro and Primo"
3,Bricks Sloped
2,Bricks Printed
